Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
2537.16,216.160004,46.689999,6.8049,0.8788,0.7779,1207.39,44.4,2432
2413.47,227.059998,48.380001,6.8086,0.8787,0.7796,1209.14,45.06,2429.300049
2423.71,226.660004,47.66,6.8022,0.878,0.7807,1216.08,45.48,2445.76001
2425.22,207.070007,45.959999,6.7874,0.8797,0.7768,1219.38,46.06,2449.320068
2363.25,198.710007,42.68,6.786,0.878,0.7733,1214.59,46.53,2463.540039
2230.49,256.890015,44.84,6.7763,0.8745,0.7665,1228.04,46.02,2462.820068
2387.61,244.020004,43.77,6.7702,0.8719,0.769,1233.97,46.4,2460.919922
2397.17,235.860001,45.23,6.7591,0.8688,0.7687,1237.88,47.1,2473.830078
2900.7,236.619995,47.310001,6.7744,0.8714,0.7732,1236.6,46.73,2477.620117
2838.41,236.550003,47.110001,6.7705,0.8608,0.7722,1242.85,45.78,2472.540039
2777.26,225.979996,45.049999,6.7687,0.8604,0.7702,1251.7,46.21,2473.100098
2768.08,209.289993,43.09,6.7568,0.8599,0.7687,1251.87,47.77,2481.23999
2610.76,205.679993,42.41,6.7595,0.8611,0.7692,1244.49,48.58,2481.689941
2693.32,203.929993,42.189999,6.755,0.8584,0.766,1260.01,49.05,2484.040039
2897.45,209.570007,41.400002,6.7498,0.8569,0.7659,1256.67,49.72,2473.530029
2889.62,232.550003,43.93,6.7387,0.8531,0.7635,1265.88,50.21,2477.959961
2921.35,228.979996,43.189999,6.7252,0.8486,0.7583,1266.41,49.19,2478.51001
2762.53,228.080002,43.18,6.7297,0.848,0.7582,1264.04,49.6,2480.379883
2813.31,227.449997,43.77,6.7331,0.8454,0.7627,1260.03,49.03,2476.030029
2899.33,258.470001,47.23,6.7306,0.8529,0.7679,1266.13,49.57,2480
3397.68,299.549988,49.93,6.729,0.85,0.7685,1255.23,49.37,2480.949951
3484.85,314.75,50.200001,6.7222,0.8537,0.7722,1257.06,49.07,2490.870117
3422.76,310.179993,48.68,6.7075,0.8556,0.7712,1262.7,49.59,2474.409912
3453.45,310.359985,47.619999,6.6734,0.8545,0.7721,1274.55,48.54,2465.379883
3679.72,319.140015,47.77,6.6801,0.8511,0.7728,1283.77,48.81,2448.090088
4325.13,299.709991,45.799999,6.6727,0.8497,0.7718,1283.7,47.59,2468.219971
4455.97,303.290009,44.939999,6.6864,0.8558,0.7785,1273.65,47.57,2468.899902
4381.23,310.429993,44.740002,6.6981,0.8562,0.7788,1269.61,46.8,2474.929932
4484.7,306.519989,47.919998,6.6925,0.8575,0.7783,1284.26,47.07,2465.02002
4370.13,298.790009,46.889999,6.6828,0.8541,0.7796,1287.04,48.59,2440.27002
4109.14,329.390015,48.099998,6.6762,0.8525,0.7784,1283.71,47.39,2430.580078
4128.76,325.100006,55.43,6.6654,0.8515,0.7806,1285.34,47.65,2454.77002
4255.78,328.649994,53.580002,6.6693,0.8518,0.7826,1282.48,48.45,2448.909912
4376.39,337.23999,52.299999,6.6661,0.8487,0.7829,1285.88,47.24,2450.389893
4455.7,334.700012,52.130001,6.6707,0.8494,0.7817,1283.82,47.65,2453.959961
4403.93,375.179993,64.199997,6.6467,0.8392,0.7769,1291.86,46.4,2449.120117
