"Bitcoin","Ethereum","Litecoin","Gold","Oil","Chinese Yuan","Europe","Pound","SP","Dow Jones","EPU Index","NASDAQ","New York Stock Exchange","Volatil Index"
1275.55,19.809999,4.09,1222.84,52.68,6.9071,0.9473,0.8217,2375.120117,20970.53906,71.17,5859.77002,11547.79004,12
1232.16,18.93,3.98,1213.64,49.83,6.9132,0.9494,0.8238,2373.090088,20951.43945,124.51,5860.629883,11521.23047,30
1197.46,18.129999,3.92,1203.64,48.75,6.9226,0.9503,0.8239,2369.080078,20900.57031,95.37,5852.540039,11484.01953,77
1270.47,19.68,4,1195.68,48.05,6.9217,0.946,0.8239,2376.860107,20940.28906,81.65,5872.600098,11520.66992,27
1237.37,31.040001,5.23,1204.4,47.95,6.9146,0.9387,0.8227,2374.419922,20926.06055,56.5,5877.430176,11522.44043,846
1244.81,29.879999,4.38,1200.3,47.24,6.9225,0.9435,0.8259,2368.550049,20874,122.3,5860.5,11479.03027,20
1251.61,35.32,4.37,1199.34,48.34,6.9173,0.9432,0.8235,2390.01001,20977.4707,159.48,5911.200195,11609.86035,852
1257.98,46.549999,4.59,1221.36,48.3,6.9162,0.9342,0.8171,2388.100098,21000.10938,91.44,5911.47998,11630.92969,819
1180.16,54.880001,4.42,1224.01,48.34,6.911,0.9323,0.8115,2385.709961,20980.50977,152.01,5912.609863,11621.57031,812
1063.03,45.509998,4.15,1230.35,47.79,6.9112,0.9326,0.8107,2379.550049,20955.44922,161.69,5915.120117,11591.33008,825
1122.43,43.799999,4.15,1227.76,47.02,6.9113,0.9331,0.8104,2381.929932,20970.03906,184.47,5928.060059,11607.23047,81
1120.65,42.939999,4.11,1243.28,47.29,6.8959,0.9281,0.805,2351.810059,20686.21094,65.8,5825.669922,11440.87988,122
1058.01,44.259998,4.1,1243.84,47,6.8949,0.9288,0.8026,2358.919922,20757.89063,48.67,5842.819824,11494.04004,147
1040.47,53.740002,4.37,1240.82,47.3,6.8998,0.9295,0.8022,2356.219971,20718.33008,106.37,5858.950195,11468.91992,230
1046.4,50.549999,4.33,1253.1,47.02,6.883,0.9264,0.8016,2344.899902,20578.46094,83.12,5849.200195,11427.84961,95
1064.65,53.970001,4.41,1250.95,48.36,6.8892,0.9261,0.8039,2363.780029,20735.60938,89.73,5888.700195,11511.87988,22
1055.13,53.630001,8.23,1246.95,49.47,6.896,0.9311,0.8081,2363.360107,20684.73047,66.64,5900.870117,11507.51953,4
1049.29,52.220001,7.81,1247.84,50.3,6.8974,0.9371,0.8064,2370.419922,20753.7793,91.55,5916.77002,11537.7002,859
1074.92,51.77,7.61,1239.83,50.54,6.9064,0.939,0.8043,2370.350098,20722.58984,221.37,5927.810059,11528.29004,25
1151.74,45.970001,9.48,1245.1,50.25,6.8871,0.9397,0.8023,2365.870117,20692.33984,115.76,5928.930176,11502.25,23
1156.44,47.490002,12.85,1253.79,50.99,6.8871,0.9402,0.8053,2360.530029,20701.28906,103.95,5901.390137,11472.04004,856
1135.09,45.869999,12.62,1252.5,51.14,6.899,0.9402,0.8052,2378.360107,20887.5,75.28,5936.390137,11560.82031,98
1188.37,44.580002,11.27,1252.23,51.69,6.9047,0.9409,0.8034,2364.159912,20746.46094,82.38,5889.580078,11485.37988,89
1186.58,45.77,11.22,1259.96,52.25,6.9062,0.9453,0.8087,2363.76001,20726.07031,67.93,5892.069824,11483.71973,110
1190.34,44.43,10.32,1250.95,53.06,6.915,0.9463,0.8087,2366.370117,20750.33008,118.06,5907.850098,11496.73047,118
1208.07,47.889999,12.16,1253.46,53.38,6.9068,0.9454,0.8063,2355.219971,20660.0293,41.86,5878.939941,11474.66992,189
1207.14,51.040001,11.72,1272.95,53.12,6.9019,0.9445,0.8014,2352.719971,20642.53906,79.49,5868.089844,11462.50977,207
1205.89,50.099998,11.91,1283.43,53.19,6.8925,0.9425,0.8001,2348.26001,20612.26953,59.73,5856.540039,11420.38965,301
1194.9,50.25,11.59,1287.6,52.62,6.8916,0.9433,0.7985,2349.139893,20644.41016,119.99,5856.790039,11427.24023,225
1217.57,50.5,11.21,1281.03,52.46,6.8951,0.9402,0.7991,2348.350098,20600.11914,71.39,5860.040039,11426.83008,206
1215.51,49.560001,11.45,1283.43,50.49,6.8892,0.9347,0.7833,2352.629883,20546.68945,93.31,5894.680176,11416.90039,267
1240.79,49.459999,12.47,1276.68,50.26,6.8933,0.9338,0.7831,2361.370117,20629.7793,55.86,5926.22998,11449.15039,182
1235.94,48.939999,14.51,1277.63,49.64,6.8861,0.9363,0.7836,2356.179932,20601.40039,124.51,5919.22998,11427.63965,232
1250.94,50.610001,15.26,1271.18,48.9,6.8882,0.9242,0.783,2376.97998,20792.19922,144.04,5989.919922,11546.08984,827
1267.58,54.610001,15.86,1271.17,49.22,6.8891,0.9215,0.7829,2392.47998,21026.9707,58.82,6036.02002,11619.04004,788
1294.83,63.419998,15.16,1261.08,49.22,6.8928,0.9212,0.781,2398.159912,21070.90039,70.4,6040.890137,11653.16992,839
1319.7,73.849998,14.83,1263.6,48.96,6.9009,0.9216,0.7792,2392.100098,21005.80078,63.06,6050.700195,11601.33008,856
1331.28,74.029999,15.79,1262.35,49.31,6.9016,0.9212,0.7762,2393.679932,20987.75977,62.79,6074.040039,11579.30957,817
1434.32,81.239998,15.88,1261.86,48.83,6.8935,0.9188,0.7762,2394.48999,20976.61914,97.49,6100.72998,11569.4502,811
1473.9,80.959999,26.52,1253.84,47.65,6.8985,0.9186,0.7774,2392.929932,20960.91992,89.58,6102.720215,11562.63965,13
1492.77,95.309998,26.68,1252.97,47.79,6.899,0.9192,0.7774,2389.820068,20972.74023,86.79,6076.959961,11537.05957,838
1608.91,97.660004,27.16,1235.73,45.55,6.8988,0.9195,0.7794,2391.429932,20990.78906,184.47,6080.819824,11546.21973,33
1618.03,95.599998,27.93,1227.83,46.23,6.9032,0.9134,0.7752,2399.290039,21006.93945,72.21,6100.759766,11615.61035,856
1723.35,89.580002,32.439999,1228.49,46.46,6.9067,0.9162,0.7734,2401.360107,21017.89063,113.15,6106.120117,11612.17969,837
1833.49,91.32,36.470001,1224.58,45.84,6.9095,0.9206,0.7752,2403.870117,21046.84961,84.95,6133,11604.71973,828
