Date,Open,High,Low,Close
08/29/17,4389.21,4625.68,4352.13,4579.02
08/30/17,4570.36,4626.52,4471.41,4565.30
08/31/17,4555.59,4736.05,4549.40,4703.39
09/01/17,4701.76,4892.01,4678.53,4892.01
09/02/17,4901.42,4975.04,4469.24,4578.77
09/03/17,4585.27,4714.08,4417.59,4582.96
09/04/17,4591.63,4591.63,4108.40,4236.31
09/05/17,4228.29,4427.84,3998.11,4376.53
09/06/17,4376.59,4617.25,4376.59,4597.12
09/07/17,4589.14,4655.04,4491.33,4599.88
09/08/17,4605.16,4661.00,4075.18,4228.75
09/09/17,4229.81,4308.82,4114.11,4226.06
09/10/17,4229.34,4245.44,3951.04,4122.94
09/11/17,4122.47,4261.67,4099.40,4161.27
09/12/17,4168.88,4344.65,4085.22,4130.81
09/13/17,4131.98,4131.98,3789.92,3882.59
09/14/17,3875.37,3920.60,3153.86,3154.95
09/15/17,3166.30,3733.45,2946.62,3637.52
09/16/17,3637.75,3808.84,3487.79,3625.04
09/17/17,3606.28,3664.81,3445.64,3582.88
09/18/17,3591.09,4079.23,3591.09,4065.20
09/19/17,4073.79,4094.07,3868.87,3924.97
09/20/17,3916.36,4031.39,3857.73,3905.95
09/21/17,3901.47,3916.42,3613.63,3631.04
09/22/17,3628.02,3758.27,3553.53,3630.70
09/23/17,3629.92,3819.21,3594.58,3792.40
09/24/17,3796.15,3796.15,3666.90,3682.84
09/25/17,3681.58,3950.25,3681.58,3926.07
09/26/17,3928.41,3969.89,3869.90,3892.35
09/27/17,3892.94,4210.05,3884.82,4200.67
09/28/17,4197.13,4279.31,4109.70,4174.73
09/29/17,4171.62,4214.63,4039.29,4163.07
09/30/17,4166.11,4358.43,4160.86,4338.71
10/01/17,4341.05,4403.74,4269.81,4403.74
10/02/17,4395.81,4470.23,4377.46,4409.32
10/03/17,4408.46,4432.47,4258.89,4317.48
10/04/17,4319.37,4352.31,4210.42,4229.36
10/05/17,4229.88,4362.64,4164.05,4328.41
10/06/17,4324.46,4413.27,4320.53,4370.81
10/07/17,4369.35,4443.88,4321.05,4426.89
10/08/17,4429.67,4624.14,4405.64,4610.48
10/09/17,4614.52,4878.71,4564.25,4772.02
10/10/17,4776.21,4922.17,4765.10,4781.99
10/11/17,4789.25,4873.73,4751.63,4826.48
10/12/17,4829.58,5446.91,4822.00,5446.91
10/13/17,5464.16,5840.30,5436.85,5647.21
10/14/17,5643.53,5837.70,5591.64,5831.79
10/15/17,5835.96,5852.48,5478.61,5678.19
10/16/17,5687.57,5776.23,5544.21,5725.59
10/17/17,5741.58,5800.35,5472.72,5605.51
10/18/17,5603.82,5603.82,5151.44,5590.69
10/19/17,5583.74,5744.35,5531.06,5708.52
10/20/17,5708.11,6060.11,5627.23,6011.45
10/21/17,5996.79,6194.88,5965.07,6031.60
10/22/17,6036.66,6076.26,5792.34,6008.42
10/23/17,6006.00,6075.59,5732.47,5930.32
10/24/17,5935.52,5935.52,5504.18,5526.64
10/25/17,5524.60,5754.33,5397.88,5750.80
10/26/17,5747.95,5976.80,5721.22,5904.83
10/27/17,5899.74,5988.39,5728.82,5780.90
10/28/17,5787.82,5876.72,5689.19,5753.09
10/29/17,5754.44,6255.71,5724.58,6153.85
10/30/17,6114.85,6214.99,6040.85,6130.53
10/31/17,6132.02,6470.43,6103.33,6468.40
11/01/17,6440.97,6767.31,6377.88,6767.31
11/02/17,6777.77,7367.33,6758.72,7078.50
11/03/17,7087.53,7461.29,7002.94,7207.76
11/04/17,7164.48,7492.86,7031.28,7379.95
11/05/17,7404.52,7617.48,7333.19,7407.41
11/06/17,7403.22,7445.77,7007.31,7022.76
11/07/17,7023.10,7253.32,7023.10,7144.38
11/08/17,7141.38,7776.42,7114.02,7459.69
11/09/17,7446.83,7446.83,7101.52,7143.58
11/10/17,7173.73,7312.00,6436.87,6618.14
11/11/17,6618.61,6873.15,6204.22,6357.60
