Date,Price,Open,High,Low,Change %
05/03/16,0.8698,0.8668,0.87,0.8608,0.32%
05/02/16,0.867,0.8735,0.8738,0.8665,-0.69%
04/29/16,0.873,0.8807,0.8822,0.8724,-0.90%
04/28/16,0.8809,0.883,0.8854,0.8795,-0.27%
04/27/16,0.8833,0.8848,0.8872,0.88,-0.20%
04/26/16,0.8851,0.8874,0.8883,0.8818,-0.26%
04/25/16,0.8874,0.8903,0.8915,0.8865,-0.31%
04/22/16,0.8902,0.8858,0.8916,0.8841,0.49%
04/21/16,0.8859,0.885,0.8874,0.8774,0.09%
04/20/16,0.8851,0.8804,0.8859,0.878,0.53%
04/19/16,0.8804,0.8837,0.8849,0.8782,-0.40%
04/18/16,0.8839,0.885,0.8871,0.8823,-0.27%
04/15/16,0.8863,0.8874,0.8894,0.8835,-0.12%
04/14/16,0.8874,0.8868,0.8903,0.8852,0.05%
04/13/16,0.887,0.8781,0.8876,0.8776,1.00%
04/12/16,0.8782,0.8763,0.8813,0.8721,0.19%
04/11/16,0.8765,0.8764,0.8794,0.8734,-0.07%
04/08/16,0.8771,0.8787,0.8813,0.8756,-0.22%
04/07/16,0.879,0.877,0.8821,0.8729,0.21%
04/06/16,0.8772,0.8783,0.883,0.8746,-0.14%
04/05/16,0.8784,0.8777,0.8822,0.8767,0.06%
04/04/16,0.8779,0.8776,0.8805,0.876,-0.02%
04/01/16,0.8781,0.8785,0.8823,0.8741,-0.08%
03/31/16,0.8788,0.8818,0.8843,0.8761,-0.36%
03/30/16,0.882,0.8856,0.8865,0.8798,-0.42%
03/29/16,0.8857,0.8929,0.8955,0.8844,-0.83%
03/28/16,0.8931,0.8955,0.8966,0.8911,-0.28%
03/25/16,0.8956,0.8947,0.8967,0.8936,0.07%
03/24/16,0.895,0.8941,0.8973,0.8937,0.09%
03/23/16,0.8942,0.8913,0.8962,0.8906,0.30%
03/22/16,0.8915,0.8892,0.8939,0.8879,0.21%
03/21/16,0.8896,0.8872,0.8903,0.886,0.26%
03/18/16,0.8873,0.8834,0.8885,0.8819,0.43%
03/17/16,0.8835,0.8908,0.8925,0.8815,-0.82%
03/16/16,0.8908,0.9,0.9045,0.8894,-1.04%
03/15/16,0.9002,0.9004,0.9032,0.8987,-0.02%
03/14/16,0.9004,0.8965,0.903,0.8946,0.41%
03/11/16,0.8967,0.8945,0.9025,0.8919,0.22%
03/10/16,0.8947,0.9084,0.9242,0.8913,-1.53%
03/09/16,0.9086,0.9084,0.9138,0.906,0.00%
03/08/16,0.9086,0.9078,0.91,0.9042,0.07%
03/07/16,0.908,0.9082,0.9142,0.9068,-0.08%
03/04/16,0.9087,0.9125,0.9173,0.9054,-0.42%
03/03/16,0.9125,0.9195,0.9216,0.9112,-0.84%
03/02/16,0.9202,0.92,0.9238,0.9189,-0.01%
03/01/16,0.9203,0.9196,0.9232,0.9178,0.07%
02/29/16,0.9197,0.9146,0.9211,0.912,0.57%
02/26/16,0.9145,0.9074,0.9166,0.9033,0.80%
02/25/16,0.9072,0.9077,0.9103,0.9047,-0.10%
02/24/16,0.9081,0.9072,0.9127,0.9051,0.08%
02/23/16,0.9074,0.9065,0.9102,0.9046,0.09%
02/22/16,0.9066,0.8985,0.909,0.8978,0.95%
02/19/16,0.8981,0.9002,0.9039,0.8975,-0.24%
02/18/16,0.9003,0.8985,0.9036,0.8967,0.19%
02/17/16,0.8986,0.8971,0.9003,0.8944,0.14%
02/16/16,0.8973,0.8962,0.8992,0.8933,0.10%
02/15/16,0.8964,0.8886,0.8987,0.8883,0.93%
02/12/16,0.8881,0.8825,0.8919,0.8822,0.57%
02/11/16,0.8831,0.8857,0.8872,0.8789,-0.30%
02/10/16,0.8858,0.8853,0.8961,0.8839,0.03%
02/09/16,0.8855,0.8929,0.8959,0.8818,-0.85%
02/08/16,0.8931,0.8961,0.9022,0.8913,-0.35%
02/05/16,0.8962,0.8921,0.9004,0.889,0.45%
02/04/16,0.8922,0.9004,0.9034,0.8896,-0.92%
02/03/16,0.9005,0.9155,0.9173,0.897,-1.68%
02/02/16,0.9159,0.9183,0.9188,0.9139,-0.27%
02/01/16,0.9184,0.9229,0.9248,0.9162,-0.48%
01/29/16,0.9228,0.9139,0.9252,0.9132,0.94%
01/28/16,0.9142,0.9178,0.9202,0.9116,-0.42%
01/27/16,0.9181,0.9197,0.9217,0.9158,-0.18%
01/26/16,0.9198,0.9216,0.9244,0.9195,-0.22%
01/25/16,0.9218,0.9258,0.9269,0.9208,-0.48%
01/22/16,0.9262,0.9193,0.927,0.9191,0.72%
01/21/16,0.9196,0.9179,0.9278,0.9155,0.15%
01/20/16,0.9182,0.9165,0.9195,0.9109,0.16%
01/19/16,0.9167,0.9179,0.921,0.9139,-0.15%
01/18/16,0.9181,0.9157,0.9202,0.9137,0.22%
01/15/16,0.9161,0.9202,0.9215,0.9102,-0.47%
01/14/16,0.9204,0.9189,0.9231,0.9135,0.11%
01/13/16,0.9194,0.9207,0.9257,0.9182,-0.17%
01/12/16,0.921,0.9206,0.9243,0.9172,0.02%
01/11/16,0.9208,0.9152,0.9218,0.9113,0.66%
01/08/16,0.9148,0.9145,0.9258,0.9142,0.04%
01/07/16,0.9144,0.9273,0.9284,0.9137,-1.41%
01/06/16,0.9275,0.9302,0.933,0.9258,-0.31%
01/05/16,0.9304,0.9231,0.9338,0.9224,0.78%
01/04/16,0.9232,0.9207,0.9277,0.9133,0.26%
01/01/16,0.9208,0.9207,0.9224,0.9198,0.01%
12/31/15,0.9207,0.9143,0.9216,0.9141,0.66%
12/30/15,0.9147,0.9156,0.9175,0.9136,-0.14%
12/29/15,0.916,0.9117,0.9175,0.9096,0.46%
12/28/15,0.9118,0.9125,0.9132,0.9095,0.09%
12/25/15,0.911,0.9111,0.914,0.9107,-0.07%
12/24/15,0.9116,0.9162,0.9173,0.9111,-0.55%
12/23/15,0.9166,0.9123,0.92,0.9123,0.42%
12/22/15,0.9128,0.9158,0.9173,0.9102,-0.37%
12/21/15,0.9162,0.9203,0.9219,0.914,-0.43%
12/18/15,0.9202,0.9235,0.9257,0.9193,-0.38%
12/17/15,0.9237,0.916,0.9258,0.9158,0.80%
12/16/15,0.9164,0.9142,0.9184,0.9081,0.13%
12/15/15,0.9152,0.9097,0.9172,0.904,0.59%
12/14/15,0.9098,0.9101,0.9138,0.9049,-0.02%
12/11/15,0.91,0.9135,0.9155,0.9065,-0.45%
12/10/15,0.9141,0.9066,0.9153,0.9065,0.78%
12/09/15,0.907,0.9179,0.9194,0.9054,-1.20%
12/08/15,0.918,0.9225,0.9235,0.917,-0.52%
12/07/15,0.9228,0.9199,0.9264,0.9183,0.46%
12/04/15,0.9186,0.9137,0.9231,0.9126,0.47%
12/03/15,0.9143,0.9419,0.9489,0.9104,-2.95%
12/02/15,0.9421,0.9401,0.9481,0.9395,0.16%
12/01/15,0.9406,0.9461,0.9467,0.9397,-0.63%
11/30/15,0.9466,0.9438,0.9473,0.9434,0.26%
11/27/15,0.9441,0.9423,0.9465,0.9398,0.17%
11/26/15,0.9425,0.941,0.9437,0.9402,0.16%
11/25/15,0.941,0.9393,0.9464,0.9353,0.14%
11/24/15,0.9397,0.9398,0.9415,0.9367,-0.05%
11/23/15,0.9402,0.9392,0.9441,0.9382,0.09%
11/20/15,0.9394,0.9314,0.94,0.9305,0.84%
11/19/15,0.9316,0.9378,0.9385,0.9289,-0.70%
11/18/15,0.9382,0.9393,0.9419,0.935,-0.14%
11/17/15,0.9395,0.9354,0.941,0.9348,0.40%
11/16/15,0.9358,0.9297,0.9371,0.9276,0.87%
11/13/15,0.9277,0.9246,0.9336,0.9242,0.36%
11/12/15,0.9244,0.9307,0.9354,0.9232,-0.68%
11/11/15,0.9307,0.9324,0.9341,0.928,-0.19%
11/10/15,0.9325,0.9298,0.9369,0.9289,0.24%
11/09/15,0.9303,0.9315,0.9327,0.9266,-0.08%
11/06/15,0.931,0.9186,0.9342,0.9178,1.34%
11/05/15,0.9187,0.92,0.9232,0.9175,-0.17%
11/04/15,0.9203,0.9117,0.9225,0.9113,0.93%
11/03/15,0.9118,0.9077,0.9144,0.9065,0.45%
11/02/15,0.9077,0.9066,0.9092,0.9046,-0.10%
10/30/15,0.9086,0.9107,0.9117,0.903,-0.27%
10/29/15,0.9111,0.9152,0.9171,0.9102,-0.50%
10/28/15,0.9157,0.9047,0.918,0.9011,1.17%
10/27/15,0.9051,0.904,0.9066,0.9024,0.08%
10/26/15,0.9044,0.9082,0.9099,0.9033,-0.36%
10/23/15,0.9077,0.9,0.9099,0.8975,0.82%
10/22/15,0.9003,0.8817,0.9009,0.8808,2.09%
10/21/15,0.8819,0.8811,0.8825,0.8787,0.08%
10/20/15,0.8812,0.8826,0.8832,0.878,-0.22%
10/19/15,0.8831,0.8807,0.8844,0.8787,0.20%
10/16/15,0.8813,0.8785,0.8822,0.8772,0.32%
10/15/15,0.8785,0.8715,0.8801,0.8698,0.79%
10/14/15,0.8716,0.8786,0.879,0.8701,-0.80%
10/13/15,0.8786,0.8806,0.8816,0.8762,-0.24%
10/12/15,0.8807,0.8804,0.8807,0.8773,0.03%
10/09/15,0.8804,0.8866,0.8878,0.878,-0.70%
10/08/15,0.8866,0.8896,0.8903,0.8826,-0.39%
10/07/15,0.8901,0.8868,0.892,0.8861,0.33%
10/06/15,0.8872,0.8934,0.8954,0.8863,-0.77%
10/05/15,0.8941,0.8909,0.8951,0.8857,0.22%
10/02/15,0.8921,0.8933,0.8969,0.8834,-0.11%
10/01/15,0.8931,0.8946,0.8982,0.8919,-0.18%
09/30/15,0.8947,0.8887,0.8963,0.8878,0.64%
09/29/15,0.889,0.889,0.8936,0.8862,-0.02%
09/28/15,0.8892,0.893,0.8973,0.8888,-0.46%
09/25/15,0.8933,0.8902,0.8996,0.89,0.31%
09/24/15,0.8905,0.8938,0.8957,0.8851,-0.39%
09/23/15,0.894,0.8991,0.9005,0.8916,-0.58%
09/22/15,0.8992,0.8934,0.9001,0.8921,0.62%
09/21/15,0.8937,0.8858,0.8946,0.8825,1.04%
09/18/15,0.8845,0.8743,0.8875,0.8724,1.16%
09/17/15,0.8744,0.8857,0.8862,0.8737,-1.29%
09/16/15,0.8858,0.887,0.8918,0.8832,-0.19%
09/15/15,0.8875,0.8839,0.8882,0.8825,0.48%
09/14/15,0.8833,0.8816,0.8864,0.8791,0.16%
09/11/15,0.8819,0.8864,0.8885,0.8808,-0.52%
09/10/15,0.8865,0.8921,0.8953,0.8852,-0.66%
09/09/15,0.8924,0.8924,0.8984,0.8913,-0.06%
09/08/15,0.8929,0.8951,0.8966,0.8904,-0.28%
09/07/15,0.8954,0.896,0.8991,0.8945,-0.19%
09/04/15,0.8971,0.899,0.9018,0.8941,-0.21%
09/03/15,0.899,0.8904,0.9021,0.8892,0.93%
09/02/15,0.8907,0.884,0.8916,0.8831,0.78%
09/01/15,0.8838,0.8918,0.8927,0.8822,-0.89%
08/31/15,0.8917,0.8946,0.8962,0.8878,-0.31%
08/28/15,0.8945,0.8891,0.8964,0.884,0.60%
08/27/15,0.8892,0.8837,0.8925,0.8798,0.61%
08/26/15,0.8838,0.8681,0.8859,0.8648,1.80%
08/25/15,0.8682,0.8604,0.8774,0.8601,0.89%
08/24/15,0.8605,0.8799,0.88,0.8538,-1.99%
08/21/15,0.878,0.8891,0.8909,0.8776,-1.29%
08/20/15,0.8895,0.8992,0.9003,0.889,-1.09%
08/19/15,0.8993,0.9071,0.9078,0.8978,-0.88%
08/18/15,0.9073,0.9025,0.9077,0.9012,0.52%
08/17/15,0.9026,0.9002,0.9044,0.8987,0.26%
08/14/15,0.9003,0.8968,0.9011,0.8936,0.37%
08/13/15,0.897,0.8963,0.9024,0.8937,0.08%
08/12/15,0.8963,0.9056,0.907,0.8917,-1.05%
08/11/15,0.9058,0.9073,0.9123,0.9017,-0.18%
08/10/15,0.9074,0.9114,0.9153,0.9055,-0.47%
08/07/15,0.9117,0.9149,0.9214,0.9107,-0.39%
08/06/15,0.9153,0.9165,0.9196,0.9138,-0.17%
08/05/15,0.9169,0.9188,0.9219,0.9142,-0.22%
08/04/15,0.9189,0.9127,0.9194,0.9098,0.62%
08/03/15,0.9132,0.9115,0.914,0.9093,0.34%
